  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
   8.900   0.9860   0.01330   0.00735   0.0005   0.0312   1.0000
   9.000   0.9948   0.01342   0.00748   0.0010   0.0307   1.0000
   9.100   1.0034   0.01356   0.00762   0.0014   0.0301   1.0000
   9.200   1.0119   0.01371   0.00777   0.0019   0.0295   1.0000
   9.300   1.0201   0.01388   0.00795   0.0024   0.0289   1.0000
   9.400   1.0278   0.01412   0.00818   0.0030   0.0282   1.0000
   9.500   1.0357   0.01433   0.00841   0.0035   0.0276   1.0000
   9.600   1.0449   0.01444   0.00854   0.0039   0.0273   1.0000
   9.700   1.0539   0.01457   0.00868   0.0042   0.0269   1.0000
   9.800   1.0629   0.01470   0.00882   0.0046   0.0264   1.0000
   9.900   1.0718   0.01484   0.00898   0.0050   0.0260   1.0000
  10.000   1.0808   0.01499   0.00913   0.0053   0.0256   1.0000
